be_index,elem,qpt,x,y,nx,ny,ds,p,cp,dFx,dFy
53,52,0,5.38836,18.7457,-0.273362,0.961911,0.223708,0.703718,-2.11355,0.0430347,-0.151431
53,52,1,5.08833,18.6604,-0.273362,0.961911,0.357933,0.704047,-2.04776,0.0688878,-0.242403
53,52,2,4.7883,18.5752,-0.273362,0.961911,0.223708,0.704366,-1.98387,0.0430744,-0.151571
54,53,0,6.1787,18.8989,-0.179665,0.983728,0.223731,0.704627,-1.93173,0.0283236,-0.155082
54,53,1,5.87183,18.8429,-0.179665,0.983728,0.357969,0.704893,-1.87863,0.0453349,-0.248224
54,53,2,5.56497,18.7868,-0.179665,0.983728,0.223731,0.70515,-1.82714,0.0283446,-0.155197
55,31,0,6.96221,18.968,-0.0758449,0.99712,0.21796,0.70497,-1.86324,0.0116539,-0.153212
55,31,1,6.65919,18.945,-0.0758449,0.99712,0.348735,0.705497,-1.75766,0.0186603,-0.245323
55,31,2,6.35617,18.9219,-0.0758449,0.99712,0.21796,0.706018,-1.65346,0.0116713,-0.15344
56,32,0,7.74657,18.9514,0.0335277,0.999438,0.218068,0.705226,-1.81188,-0.00515614,-0.153701
56,32,1,7.44269,18.9616,0.0335277,0.999438,0.348909,0.705811,-1.69485,-0.00825667,-0.246126
56,32,2,7.13882,18.9718,0.0335277,0.999438,0.218068,0.706396,-1.57796,-0.00516469,-0.153956
57,1,0,8.53786,18.847,0.142759,0.989758,0.222316,0.705472,-1.76275,-0.0223899,-0.155231
57,1,1,8.23107,18.8913,0.142759,0.989758,0.355705,0.705901,-1.67703,-0.0358456,-0.248521
57,1,2,7.92427,18.9355,0.142759,0.989758,0.222316,0.706329,-1.59135,-0.0224171,-0.15542
58,0,0,9.31467,18.6562,0.250586,0.968094,0.222333,0.705271,-1.80288,-0.0392931,-0.151802
58,0,1,9.01456,18.7339,0.250586,0.968094,0.355732,0.705873,-1.68259,-0.0629225,-0.24309
58,0,2,8.71446,18.8115,0.250586,0.968094,0.222333,0.706474,-1.5624,-0.0393601,-0.152061
59,29,0,10.1221,18.3482,0.368424,0.929658,0.242509,0.704886,-1.88002,-0.0629789,-0.158917
59,29,1,9.80781,18.4728,0.368424,0.929658,0.388015,0.705665,-1.72416,-0.100878,-0.254548
59,29,2,9.49347,18.5973,0.368424,0.929658,0.242509,0.706444,-1.56844,-0.0631181,-0.159268
60,28,0,10.8839,17.9228,0.502057,0.864835,0.242621,0.703964,-2.06441,-0.0857494,-0.14771
60,28,1,10.5913,18.0927,0.502057,0.864835,0.388193,0.705084,-1.84039,-0.137417,-0.236713
60,28,2,10.2987,18.2625,0.502057,0.864835,0.242621,0.7062,-1.61712,-0.0860218,-0.14818
61,9,0,11.3518,17.5836,0.603606,0.797283,0.150317,0.703185,-2.2201,-0.0638015,-0.0842733
61,9,1,11.1847,17.7101,0.603606,0.797283,0.240507,0.704354,-1.98638,-0.102252,-0.135061
61,9,2,11.0176,17.8366,0.603606,0.797283,0.150317,0.705518,-1.75354,-0.0640131,-0.0845529
62,48,0,12.496,16.4381,0.754504,0.656296,0.150075,0.697441,-3.36894,-0.0789729,-0.0686935
62,48,1,12.3587,16.596,0.754504,0.656296,0.24012,0.699117,-3.03383,-0.12666,-0.110174
62,48,2,12.2214,16.7538,0.754504,0.656296,0.150075,0.700766,-2.70402,-0.0793493,-0.069021
63,16,0,12.9091,15.9155,0.787489,0.616328,0.189505,0.693563,-4.14454,-0.103503,-0.0810064
63,16,1,12.7462,16.1235,0.787489,0.616328,0.303208,0.695932,-3.67065,-0.16617,-0.130053
63,16,2,12.5834,16.3316,0.787489,0.616328,0.189505,0.698271,-3.20303,-0.104205,-0.0815562
64,15,0,14.0614,14.2259,0.840547,0.541739,0.189361,0.675922,-7.67269,-0.107584,-0.0693389
64,15,1,13.9183,14.4479,0.840547,0.541739,0.302978,0.679305,-6.9961,-0.172997,-0.111498
64,15,2,13.7753,14.6698,0.840547,0.541739,0.189361,0.682638,-6.32949,-0.108653,-0.0700279
65,38,0,14.4601,13.5873,0.849152,0.528148,0.211656,0.667107,-9.43576,-0.119898,-0.074573
65,38,1,14.3042,13.8378,0.849152,0.528148,0.338649,0.671105,-8.63616,-0.192986,-0.120032
65,38,2,14.1483,14.0884,0.849152,0.528148,0.211656,0.67504,-7.84908,-0.121324,-0.0754598
66,3,0,15.6267,11.6217,0.863701,0.504005,0.211643,0.632099,-16.4373,-0.115545,-0.0674254
66,3,1,15.478,11.8765,0.863701,0.504005,0.338628,0.637456,-15.3659,-0.186439,-0.108795
66,3,2,15.3293,12.1314,0.863701,0.504005,0.211643,0.642741,-14.309,-0.11749,-0.0685605
67,13,0,16.0199,10.9441,0.865057,0.501673,0.218358,0.618225,-19.2121,-0.116778,-0.067723
67,13,1,15.8672,11.2075,0.865057,0.501673,0.349372,0.623981,-18.0609,-0.188584,-0.109366
67,13,2,15.7144,11.4709,0.865057,0.501673,0.218358,0.629668,-16.9236,-0.118939,-0.0689765
68,37,0,17.4147,8.50516,0.871795,0.489871,0.11358,0.573156,-28.226,-0.0567528,-0.03189
68,37,1,17.3371,8.64322,0.871795,0.489871,0.181727,0.575635,-27.7301,-0.0911973,-0.0512447
68,37,2,17.2596,8.78128,0.871795,0.489871,0.11358,0.578107,-27.2358,-0.0572431,-0.0321655
69,78,0,17.2152,8.86001,0.870378,0.492385,0.10918,0.578796,-27.0979,-0.0550016,-0.0311151
69,78,1,17.1402,8.9925,0.870378,0.492385,0.174687,0.581309,-26.5953,-0.0883847,-0.0500004
69,78,2,17.0653,9.125,0.870378,0.492385,0.10918,0.583814,-26.0944,-0.0554784,-0.0313849
70,88,0,0.376003,1.38577,0.909533,-0.415631,0.167339,0.651981,-12.4609,-0.0992321,0.0453463
70,88,1,0.472977,1.59798,0.909533,-0.415631,0.267743,0.653287,-12.1998,-0.159089,0.0726994
70,88,2,0.569951,1.81019,0.909533,-0.415631,0.167339,0.654587,-11.9398,-0.0996286,0.0455275
71,8,0,0.622744,1.92119,0.894787,-0.446493,0.135656,0.649651,-12.927,-0.0788565,0.0393489
71,8,1,0.707194,2.09043,0.894787,-0.446493,0.217049,0.649895,-12.8782,-0.126218,0.0629818
71,8,2,0.791644,2.25967,0.894787,-0.446493,0.135656,0.650128,-12.8316,-0.0789144,0.0393778
72,49,0,0.18095,17.3571,0.900991,0.433838,0.0995531,0.705168,-1.82354,-0.0632511,-0.0304562
72,49,1,0.120731,17.4822,0.900991,0.433838,0.159285,0.700712,-2.71475,-0.100562,-0.0484219
72,49,2,0.0605126,17.6072,0.900991,0.433838,0.0995531,0.69571,-3.71507,-0.0624028,-0.0300477
73,67,0,0.448083,17.0737,0.703371,0.710823,0.109933,0.714877,0.118333,-0.0552771,-0.0558627
73,67,1,0.339131,17.1815,0.703371,0.710823,0.175893,0.713146,-0.227963,-0.0882291,-0.0891638
73,67,2,0.230178,17.2893,0.703371,0.710823,0.109933,0.710721,-0.712933,-0.0549557,-0.0555379
74,71,0,1.16806,16.8541,0.0776983,0.996977,0.102782,0.692646,-4.32792,-0.00553148,-0.0709765
74,71,1,1.02519,16.8652,0.0776983,0.996977,0.164452,0.694097,-4.03773,-0.0088689,-0.1138
74,71,2,0.882314,16.8764,0.0776983,0.996977,0.102782,0.695378,-3.78154,-0.00555329,-0.0712564
75,68,0,0.800059,16.898,0.410991,0.911639,0.109982,0.705256,-1.80596,-0.0318788,-0.0707118
75,68,1,0.660263,16.961,0.410991,0.911639,0.175972,0.709401,-0.976937,-0.0513059,-0.113804
75,68,2,0.520468,17.024,0.410991,0.911639,0.109982,0.713004,-0.256292,-0.032229,-0.0714887
76,63,0,18.0881,-9.0895,-0.967731,-0.251986,0.107267,0.494466,-43.964,0.0513285,0.0133654
